title,stars,mainTag,subTag,text,BodyRightText
미유,,#한림 #옹포리 #소품샵,#핸드메이드소품 #키링 #우산 #지갑 #쇼핑,"숲속 별장처럼 꾸며진 소품 가게 미유는 일몰의 풍경이 아름다운 것으로 유명한 한림항 인근에 있는 소품 가게이다. 멀리서도 눈에 띄는 나무건물은 빈티지한 분위기를 자아낸다. 노란색 간판에 가게의 상호가 쓰여 있다. 입구를 열고 들어서면 마치 별장처럼 꾸며진 공간이 눈길을 끈다. 인테리어는 전체적으로 나무를 활용하여 인위적이지 않고 자연스러운 느낌이다. 이뿐 아니라 제주 특산물로 만든 다양한 먹거리들도 구비돼 있다. 스테디셀러인 초콜릿이나 과즐, 타르트 등은 선물용으로 인기가 좋다. 진열이 깔끔하게 돼 있고, 상품의 가짓수가 많아 둘러보는 재미가 쏠쏠하다.  제주여행 기념품 쇼핑을 하고 싶을 때 방문할 만한 곳이다. 가게 규모가 크진 않지만, 제주 여행 기념품 종류를 다양하게 구비하고 있어 둘러보는 재미가 쏠쏠한 편. 귤 모양 파우치, 스트링 백과 같은 사장님이 직접 만든 핸드메이드 제품도 선보인다. 여행객에게 인기 아이템인 모자의 경우 털, 뜨개실, 면 등 여러 소재가 구비되어 취향껏 고르기에 좋으며, 우산, 선글라스, 지갑, 키링과 같은 잡화류도 다양한 디자인이 준비되어 있다.","소개-숲속 별장처럼 꾸며진 소품 가게, 이용 시간-평일 : 11:00 ~ 18:00 , 주말 : 11:00 ~ 18:00"
마야블루,,#쇼핑 #라탄 #원데이클래스,#관광기념품 #상점/상가,"마야블루 제주에는 작지만 매력적인 공간들이 꽤나 많다. 마야블루는 제주 시내의 주택가 사이에 작은 간판으로 자신의 존재를 알리고 있다. 이곳은 소품 판매와 함께 공방을 운영하면서 드림캐처와 캔들 등 직접 만들어 볼 수 있는 원데이 클래스도 진행하고 있다. 그렇기에 이미 라탄을 좋아하는 단골 손님이 많은 소품샵이기도 하다. 마야블루는 주로 태국에서 주인장이 구매해 온 소품들이 많다. 해외에서 직접 사 온 물건들도 있고, 주인장이 한 땀 한 땀 정성 들여 만든 핸드메이드 물건도 있는 곳이다.

주로 태국에서 물건을 들여오는 소품샵이기 때문에, 공식 휴일 이외에도 문을 열지 않는 경우가 있다. 물건을 구하러 다녀오는 기간에는 영업을 하지 않으니, 공식 SNS를 통해 영업 여부 확인 후 방문하는 것을 추천한다. 전체적으로 가격이 비싸지 않은 편이며, 라탄 바구니와 가방은 2만 원 선부터 시작하니 참고하자.","소개-마야블루는 제주 시내의 주택가 사이에 작은 간판으로 자신의 존재를 알리고 있다. 이곳은 소품 판매와 함께 공방을 운영하면서 드림캐처와 캔들 등 직접 만들어 볼 수 있는 원데이 클래스도 진행하고 있다, 상세 정보-일요일 휴무, 이용 시간-평일 : 10:00 ~ 19:00 , 주말 : 10:00 ~ 19:00, 취급품목 기타-드림캐처, 캔들, 악세사리, 라탄 소품, 편의시설-카드결제,현금결제"
몸냥공작소,,#공방 #기념품 #쇼핑,#관광기념품 #상점/상가,"애월읍 중산간마을인 유수암리에 위치한 뜨개공방, 뜨개소품가게이다. 모든 작품들은 직접 디자인하고 있으며, 뜨개로 만든 제주스럽고 귀엽고 유니크한 소품들이 준비되어 있다. 여행하다가 비행시간이 많이 남아서 어쩌지 하시는 분들을 위한 원데이 클래스로 작은 소품들을 만들 수 있다. 주변 관광지로는 불빛정원, 렛츠런파크, 항몽유적지","소개-귀엽고 제주스러운 유니크한 소품가게, 상세 정보-토, 일, 공휴일 휴무, 이용 시간-평일 : 10:00 ~ 19:00 , 주말 : ~, 장애인 활동 보조 필요성-아주 어려움"
은인마켙,,#함덕 #소품샵 #식기,#잡화,"크지 않고 아담한 공간이지만 제법 다양한 소품들이 있고 둘러보기에 좋다. 사장님의 안목과 취향이 담긴 큐레이션으로 최근 여행객들 사이에서 조금씩 입소문을 타고 있다. 뻔한 제주기념품 보다는 주로 특색 있는 인테리어 소품과 액세서리를 판매한다. 특히, 소모성 제품이 아닌 오래 두고 사용할 수 있는 제품들이 많이 구비돼 있다. 은인마켙은 아름다운 에메랄드빛 바다로 유명한 함덕해수욕장 인근에 있는 작은 소품샵이다.  사람이 붐비는 해수욕장에서 조금만 들어가면 주택가 골목길에 숨겨져 있는 은인마켙이 보인다. 하얀 톤으로 칠해진 차분한 가게 분위기에서 아늑함을 느껴진다. 매장은 나무들로 꾸며져 있어 따뜻한 느낌을 주며 맑은 날 큰 창문으로 들어오는 햇빛이 이곳만의 빈티지한 분위기를 더한다. 제주여행객에게 특히 인기가 많은 건 식기류이다. 제품마다 디자인이나 무늬, 재질이 달라 소장가치가 있는 편이며, 굳이 사용하지 않더라도 오브제로 쓸 수 있는 것들이 많다. 제주여행을 추억하고 싶은 사람이라면 한번쯤 방문할 만한 곳이다. 이곳만의 감성소품을 구경하는 것만으로 즐거운 시간이 된다.","소개-자개, 유리 등 다양한 식기류를 만나볼 수 있는 소품샵, 상세 정보-매주 수요일 정기휴무, 이용 시간-평일 : 14:00 ~ 18:00 , 주말 : 14:00 ~ 18:00"
뱅뱅와인마켓,,#제주시내 #오라동 #와인,#샴페인,"주기적인 와인 시음회를 열어 고객들에게 다양한 와인을 맛볼 기회를 제공하는 곳이다. 와인을 잘 모르는 사람이라도 쉽게 입문할 수 있도록 도움받을 수 있다. 이외에 고급 와인은 각별한 주의가 필요해 셀러에 별도 보관 중으로, 친절하게 안내받을 수 있다. 한쪽 벽면에는 45도로 거꾸로 뒤집어진 와인병들과 와인별 이름이 손글씨로 적혀 있다. 편안하게 와인에 대한 정보를 습득할 수 있도록 관련 잡지도 마련해두고 있으니, 여유가 된다면 찬찬히 둘러보는 것도 방법이다. 스페인, 이탈리아, 칠레 등 와인 산지로 유명한 나라별로 와인을 진열하고, 합리적인 가격으로 구매할 수 있는 이벤트 코너를 따로 구성해 부담 없이 쇼핑을 즐기기 알맞다. 뱅뱅와인마켓은 공항 인근에 위치한 대형 와인판매점이다. 번화가에서 조금 벗어나 큰 길가에 위치해 찾기 쉬운 편이다. 실버톤의 외관은 모던한 느낌을 주고, 가게 벽에 기다랗게 걸린 붉은 와인 현수막이 눈에 띄는 곳이다. 문을 열고 들어서면 가게를 빼곡히 채운 와인에 눈이 휘둥그레진다. 가성비가 좋은 데일리 와인부터 요즘 유행하는 내추럴 와인, 고급 샴페인까지 1,500여 종에 이르는 다양한 라인업을 선보인다.","소개-공항 인근에 위치한 대형 와인판매점, 이용 시간-평일 : 10:30 ~ 21:00 , 주말 : 10:30 ~ 21:00"
책은 선물,,#한경면 #신창리 #서점,#책방,"이곳 역시 본점인 무명서점처럼 독립출판물 위주로 책을 큐레이션 한다. 흔히 볼 수 있는 베스트셀러보다 평소에 접하기 어려운 다양한 분야의 도서를 선별하며, 일일 책방지기의 친절한 설명으로 책을 고르기가 한결 수월해진다. 어린 손님들이 즐겨 찾는 동네책방으로, 가족 친화적인 공간이기도 하다. 또, 책 만들기 워크숍이나 작가와의 만남 등 다양한 프로그램이 마련되므로 방문 전 SNS를 확인하는 것도 좋겠다. 책은선물은 신창리 마을 골목길에 있는 작은 독립서점이다. 서쪽 제주의 상징인 풍력발전기와 아름다운 바다를 뒤로한 채 걷다 보면, 전형적인 제주의 돌담집이 나타난다. 건물에 걸린 깃발에는 ‘가장 작은 것 속에 가장 큰 것이 있다’는 상징적인 문장이 쓰여있다. 서점에 들어서면 잠시 쉬어갈 수 있는 벤치와 숲으로 향해 난 나무 프레임의 유리창이 눈에 띈다. 이곳은 한경면에 위치한 무명서점의 분점으로, 일반적인 서점과 달리 조금 특별한 서점지기가 자리를 지키는 곳이다. ‘일일 서점지기 체험 프로그램’은 작은 제주 서점의 주인이 돼, 선물 같은 책의 의미를 되새겨 보는 시간을 표방한다. 온라인 신청만 가능하며, 소정의 참가 비용도 납부해야 하니 참고할 것. 서점지기로 충실한 역할을 모두 수행할 경우 기념품을 받을 수도 있다.","소개-일일 서점지기 체험이 가능한 작은 서점, 상세 정보-매주 수요일 정기휴무, 이용 시간-평일 : 12:00 ~ 17:00 , 주말 : 12:00 ~ 17:00"
낭만와인샵,,#제주시내 #용담 #와인,#와인샵,"와인 선택의 폭을 넓히기 위한 가게 주인의 배려와 최신 트렌드를 따라가기 위한 노력이 돋보이는 곳이다. 와인에 대한 정보가 없는 사람이더라도 각각의 제품마다 간단한 설명과 맛의 특징이 적힌 태그를 부착해 놓아 구매 시 참고할 수 있다. 매주 새로운 와인이 입고돼 유행하는 와인을 확인할 수 있다. 만약 쇼핑에 어려움이 있을 경우, 사장님에게 원하는 취향이나 가격대를 이야기한다면 이에 맞춰 와인을 추천받을 수 있다. 낭만와인샵은 제주공항에서 차로 10분 거리에 위치한 와인 판매점이다. 와인 유통업 20년 경력자인 사장님이 운영하며, 매장의 모든 제품은 와인만 취급한다. 갤러리 같은 느낌의 인테리어와 깔끔하게 진열된 와인은 보기에도 좋고, 여유로운 공간 덕분에 둘러보기에도 편하다. 부담없는 가격의 데일리용 와인부터 고급 와인까지 다양한 종류가 구비되어 있고, 계산대 옆으로는 저렴하게 구매가 가능한 할인행사 제품이 있으니 한번 살펴보는 것도 좋겠다. 낭만와인샵은 인스타그램 혹은 전화로 3병 이상 예약 주문 시에 제주도 내 무료 배달서비스를 운영하며, 6병부터는 전국 무료 택배 배송이 가능하다. 구매 금액에 상관없이 오프너도 제공한다. 또한 샵에서 와인 구매 후 공항에서 픽업할 수도 있으니 여행 시 참고할 것.","소개-와인 유통업 20년 경력자인 사장님이 운영하는 와인샵, 상세 정보-매주 월요일 정기휴무, 이용 시간-평일 : 12:00 ~ 22:00 , 주말 : 12:00 ~ 22:00"
소소한 상상점,,#구좌읍 #평대리 #소품샵,#핸드메이드 #잡화 #액세서리,"매장에 들어서자마자 화이트톤으로 꾸며진 가게 인테리어가 시선을 끈다. 마치 가정집과 같은 구조로 돼 있어 신발을 벗고 들어가야 하며, 세 개의 공간으로 나뉘어져 있는 게 특징이다. 이곳은 그림을 그리는 가게 사장님의 드로잉 작품부터 제주 여행을 기념하기 알맞은 액세서리와 핸드메이드 소품까지 다양한 상품을 구비하고 있다. 매장 내 걸려 있는 사장님의 그림 아래에는 손수 적은 글귀도 붙어 있어 구경하는 재미가 쏠쏠하다. 오랜 시간 동안 제주도 곳곳의 풍경을 담아낸 사장님의 노력이 돋보인다.  또, 특별한 기념품을 만들고 싶은 여행객이나 도민을 위해 반지와 귀걸이 원데이 클래스를 진행하니 참고할 것. 판에 박힌 기념품이 아니라 제주 감성을 오롯이 느끼고 싶은 사람이라면 방문할 만하다. 직접 그려 더욱 개성 있는 세화소품숍 소소한상상점은 하얀 모래와 검은 현무암, 에메랄드빛 바다색이 조화를 이루는 세화해변 인근의 소품 가게이다. 이곳은 북적이는 관광지에서 조금 떨어진 곳에 자리 잡아 여유 있게 쇼핑을 즐길 수 있다. 제주의 감성이 물씬 느껴지는 낮은 돌담 뒤로 가게 건물이 서 있고, 나무 문을 열고 데크 길을 따라가면 매장 입구가 보인다.","소개-직접 그려 더욱 개성 있는 세화소품숍, 이용 시간-평일 : 11:00 ~ 18:00 , 주말 : 11:00 ~ 18:00"
호끄만거,,#제주시내 #동문시장 #소품샵,#엽서 #디퓨저 #핸드크림 #액세서리,"호끄만거는 관광객들로 붐비는 제주 동문시장 청년몰 내에 위치한 인테리어 소품샵이며 동문시장 공영주차장 지하 1층으로 찾아가면 된다. 직접 촬영한 제주의 아름다운 풍경을 담은 엽서를 비롯해 제주에서 활발히 활동하고 있는 작가들이 만든 소품들을 판매한다. 감귤초콜릿, 감귤 모자, 한라산 기념품으로 가득 찬 관광기념품 샵과는 달리 다른 곳에서는 판매하지 않는 감각 있고 특별한 소품들이 있다. 인센스 홀더와 명함이나 인쇄물을 꽂을 수 있는 각종 홀더는 한라산, 바람, 구름 등 제주의 자연에서 영감을 받아 돌로 제작한 소품으로 특별한 기념품을 찾는 관광객에게 인기가 많은 아이템이다. 제주에서 활동하는 작가들의 감각있는 소품을 판매하는 소품샵 세라믹 소품 말고도 대나무, 사찰, 화원 등 한국적인 향을 제품으로 전개하는 브랜드의 드롭퍼, 디퓨저, 핸드크림 등은 입고된 지 얼마 지나지 않아 완판이 될 정도로 인기가 많다. 독특한 향과 감각적인 패키징은 유명브랜드 못지않은 품질을 보여준다. 편집숍 한편에는 드로잉 엽서, 스티커와 매번 다른 디자인의 수제 왁스 팔찌를 판매하고 있다. 종류가 많지는 않지만, 장신구와 각종 의류, 모자 등도 진열되어 있다. 청년몰에 입점해 있는 가게답게 제주의 청년 작가들의 세련되고 감각적인 아이템들을 판매하고 있는 소품 편집숍이다.","소개-제주에서 활동하는 작가들의 감각있는 소품을 판매하는 소품샵, 상세 정보-매주 화요일 정기휴무, 이용 시간-평일 : 10:00 ~ 19:30 , 주말 : 10:00 ~ 19:30"
제주그림,,#쇼핑 #휴식/힐링 #관광기념품,#상점/상가,제주그림에서는 제주의 잘 알려지지 않은 문화유산을 이용하여 제품을 제작 판매하고 있다. 제주 동자석 캐릭터인 '무아'와 손으로 직접 그린 제주의 대표꽃들을 이용하여 유리컵 제품들을 제작하고 있다.,"소개-제주의 잘 알려지지 않은 문화유산을 제품을 통해 이야기한다., 상세 정보-월-금 9:00-5:30, 주말은 휴무, 이용 시간-평일 : 09:00 ~ 17:30 , 주말 : 09:00 ~ 17:30, 편의시설-공용주차장, 장애인 활동 보조 필요성-쉬움"
