title,BodyRightText
삼각봉,소개-한라산 관음사 코스 중 유난히 신비스러운 삼각봉
삼매봉,소개-외돌개 앞에 위치한 작은 오름
삼매봉,상세 정보-연중무휴
삼매봉,"편의시설-공용주차장,화장실,편의점,음료대"
성불오름,소개-삼나무와 편백나무가 우거진 오름
성불오름,상세 정보-연중무휴
유건에오름,소개-북쪽과 서쪽의 봉우리가 이어져 1km의 능선을 이루고 있는 오름
절물오름,소개-절물 약수터의 물이 용출되는 절물오름
절부암,소개-슬픈 이야기가 전해지는 제주기념물 제9호
절부암,편의시설-공용주차장
제주향교,소개-조선시대 지방민의 교육을 위해 세운 국립교육기관
제주향교,"이용 시간-평일 : 09:00 ~ 17:00 , 주말 : 09:00 ~ 17:00"
제주향교,"편의시설-공용주차장,화장실,음료대,유도 및 안내시설,경보 및 피난시설"
제지기오름,소개-발 아래 서귀포바다를 조망하는 제지기오름 · 서귀포시 보목동 · 올레6코스
토이승마장,소개-아이들과 함께하는 승마체험
토이승마장,상세 정보-연중 무휴
토이승마장,"이용 시간-평일 : 09:00 ~ 17:30 , 주말 : 09:00 ~ 17:30"
토이승마장,"요금 정보-유료,에어로범퍼카 12,000원 ㅣ 산책코스 37,000원 ㅣ 미니코스 20,000원"
토이승마장,편의시설-공용주차장
지그리오름,소개-울창한 숲과 곶자왈 지대로 이루어진 지그리오름
지그리오름,상세 정보-교래자연휴양림으로 진입 시 이용시간: 07:00 ~ 일몰전(매표시간 기준 마감시간 09:00~15:30/ 하절기 09:00~ 16:00) *오름코스 이용 시 이용 마감 2~3시간 전까지 입장 권장
차귀도요트,"소개-요트와 함께 즐기는 해상관광 및 야생돌고래탐방, 스노클링 및 체험낚시"
차귀도요트,상세 정보-연중 무휴
차귀도요트,"이용 시간-평일 : 10:00 ~ 19:00 , 주말 : 10:00 ~ 19:00"
차귀도요트,"요금 정보-유료,로맨틱 선셋 투어 60,000원 ㅣ 돌고래섬 요트 투어 48,000원 ㅣ 럭셔리 요트 낚시 72,000원 ㅣ 스노클링 투어 72,000원"
차귀도요트,평균 소요 시간-1~2시간
