title,BodyRightText
미유,소개-숲속 별장처럼 꾸며진 소품 가게
미유,"이용 시간-평일 : 11:00 ~ 18:00 , 주말 : 11:00 ~ 18:00"
마야블루,소개-마야블루는 제주 시내의 주택가 사이에 작은 간판으로 자신의 존재를 알리고 있다. 이곳은 소품 판매와 함께 공방을 운영하면서 드림캐처와 캔들 등 직접 만들어 볼 수 있는 원데이 클래스도 진행하고 있다
마야블루,상세 정보-일요일 휴무
마야블루,"이용 시간-평일 : 10:00 ~ 19:00 , 주말 : 10:00 ~ 19:00"
마야블루,"취급품목 기타-드림캐처, 캔들, 악세사리, 라탄 소품"
마야블루,"편의시설-카드결제,현금결제"
몸냥공작소,소개-귀엽고 제주스러운 유니크한 소품가게
몸냥공작소,"상세 정보-토, 일, 공휴일 휴무"
몸냥공작소,"이용 시간-평일 : 10:00 ~ 19:00 , 주말 : ~"
몸냥공작소,장애인 활동 보조 필요성-아주 어려움
은인마켙,"소개-자개, 유리 등 다양한 식기류를 만나볼 수 있는 소품샵"
은인마켙,상세 정보-매주 수요일 정기휴무
은인마켙,"이용 시간-평일 : 14:00 ~ 18:00 , 주말 : 14:00 ~ 18:00"
뱅뱅와인마켓,소개-공항 인근에 위치한 대형 와인판매점
뱅뱅와인마켓,"이용 시간-평일 : 10:30 ~ 21:00 , 주말 : 10:30 ~ 21:00"
책은 선물,소개-일일 서점지기 체험이 가능한 작은 서점
책은 선물,상세 정보-매주 수요일 정기휴무
책은 선물,"이용 시간-평일 : 12:00 ~ 17:00 , 주말 : 12:00 ~ 17:00"
낭만와인샵,소개-와인 유통업 20년 경력자인 사장님이 운영하는 와인샵
낭만와인샵,상세 정보-매주 월요일 정기휴무
낭만와인샵,"이용 시간-평일 : 12:00 ~ 22:00 , 주말 : 12:00 ~ 22:00"
소소한 상상점,소개-직접 그려 더욱 개성 있는 세화소품숍
소소한 상상점,"이용 시간-평일 : 11:00 ~ 18:00 , 주말 : 11:00 ~ 18:00"
호끄만거,소개-제주에서 활동하는 작가들의 감각있는 소품을 판매하는 소품샵
호끄만거,상세 정보-매주 화요일 정기휴무
호끄만거,"이용 시간-평일 : 10:00 ~ 19:30 , 주말 : 10:00 ~ 19:30"
제주그림,소개-제주의 잘 알려지지 않은 문화유산을 제품을 통해 이야기한다.
제주그림,"상세 정보-월-금 9:00-5:30, 주말은 휴무"
제주그림,"이용 시간-평일 : 09:00 ~ 17:30 , 주말 : 09:00 ~ 17:30"
제주그림,편의시설-공용주차장
제주그림,장애인 활동 보조 필요성-쉬움
워너비제주,소개-직접 주운 조개로 만든 모빌과 귀여운 향초를 파는 소품샵
워너비제주,"이용 시간-평일 : 11:00 ~ 17:00 , 주말 : 11:00 ~ 17:00"
프란츠스토어,소개-유니크한 매력에 빠지는 조수리 소품숍
프란츠스토어,"이용 시간-평일 : 11:00 ~ 18:00 , 주말 : 11:00 ~ 18:00"
패밀리아펜션,소개-유럽풍 복층형 독채 휴양펜션
패밀리아펜션,이용 시간-Checkin : ~ Checkout :
디어브리즈,소개-제주 감성을 담은 유니크한 소풉숍
디어브리즈,"이용 시간-평일 : 11:00 ~ 18:00 , 주말 : 11:00 ~ 18:00"
꾸꾸제주,소개-동화 속 오두막처럼 아름다운 소품숍
꾸꾸제주,"이용 시간-평일 : 11:00 ~ 18:30 , 주말 : 11:00 ~ 18:30"
언제라도 북스&리틀갤러리,소개-바닷가와 가까운 조용한 마을에 자리 잡은 서점
언제라도 북스&리틀갤러리,"상세 정보-운영시간 13:00~18:00 매주 월,목 정기휴무"
텐저린맨션,소개-다양한 샵들이 입점되어있는 복합문화공간
텐저린맨션,상세 정보-입점 매장별 영업시간 확인 후 방문
텐저린맨션,"이용 시간-평일 : 10:00 ~ 22:00 , 주말 : 10:00 ~ 22:00"
만달,소개-중문관광단지 제주감성 담은 기념품숍
만달,"이용 시간-평일 : 09:00 ~ 22:00 , 주말 : 09:00 ~ 22:00"
혜리스마스,소개-제주 바다를 오롯이 담은 세화 소품숍
혜리스마스,"이용 시간-평일 : 11:30 ~ 17:30 , 주말 : 11:30 ~ 17:30"
마니주펜션,소개-관광지와 가까운 마니주펜션
마니주펜션,이용 시간-Checkin : 15:00 ~ Checkout : 11:00
마니주펜션,"편의시설-공용주차장,현금결제,카드결제,화장실,무료 WIFI,유도 및 안내시설,경보 및 피난시설"
마니주펜션,장애인 활동 보조 필요성-아주 어려움
푸근한곰아저씨,소개-올레4코스에 서 있는 쉼표 같은 책방
푸근한곰아저씨,"이용 시간-평일 : 11:00 ~ 17:00 , 주말 : 11:00 ~ 17:00"
책약방,소개-사람 대신 책이 지키는 책방
썬라이즈호텔,소개-중문관광단지에 위치한 강렬한 태양을 담은 포근한 숙소
