title,category,introduction,address,roadaddress,latitude,longitude,phoneno,imgpath,tag,contentsid
미유,쇼핑,숲속 별장처럼 꾸며진 소품 가게,제주특별자치도 제주시 한림읍 옹포리 326-3,제주특별자치도 제주시 한림읍 한림상로 15-5,33.4056365,126.2567624,0507-1349-9322,https://api.cdn.visitjeju.net/photomng/imgpath/202306/13/34c0934e-f750-49db-9a3a-7382581d8924.jpg,"핸드메이드소품, 키링, 우산, 한림, 옹포리, 소품샵, 지갑, 쇼핑",CNTS_200000000015086
마야블루,쇼핑,마야블루는 제주 시내의 주택가 사이에 작은 간판으로 자신의 존재를 알리고 있다. 이곳은 소품 판매와 함께 공방을 운영하면서 드림캐처와 캔들 등 직접 만들어 볼 수 있는 원데이 클래스도 진행하고 있다,제주특별자치도 제주시 노형동 1052-27,제주특별자치도 제주시 월랑로6길 21,33.4895696,126.4785925,010-8515-2470,https://api.cdn.visitjeju.net/photomng/imgpath/201808/07/dc35d5a5-ba76-481a-88f1-bfb4ed952e1b.jpg,"악세사리, 쇼핑,라탄,원데이클래스,관광기념품,상점/상가, 쇼핑,라탄,원데이클래스,카드결제,현금결제,드림캐처, 캔들, 라탄 소품",CNTS_200000000007334
몸냥공작소,쇼핑,귀엽고 제주스러운 유니크한 소품가게,제주특별자치도 제주시 애월읍 유수암리 2503-1,제주특별자치도 제주시 애월읍 하소로 595,33.430614,126.39747,--,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/5dd8ef8b-73a0-4830-aaa9-2a709db0a1f5.jpg,"공방,기념품,,아주 어려움, 공방,기념품,쇼핑,관광기념품,상점/상가",CNTS_000000000022837
은인마켙,쇼핑,"자개, 유리 등 다양한 식기류를 만나볼 수 있는 소품샵",제주특별자치도 제주시 조천읍 함덕리 1082,제주특별자치도 제주시 조천읍 함덕서2길 20,33.5406613,126.6630994,010-3006-7721,https://api.cdn.visitjeju.net/photomng/imgpath/202306/15/fc67bc07-47c4-4655-984f-bacc061c72e8.jpg,"소품샵, 함덕, 잡화, 식기",CNTS_200000000015021
뱅뱅와인마켓,쇼핑,공항 인근에 위치한 대형 와인판매점,제주특별자치도 제주시 오라이동 2171-1,제주특별자치도 제주시 사평2길 9,33.49222,126.5105595,064-746-4141,https://api.cdn.visitjeju.net/photomng/imgpath/202306/13/ec24f923-fb15-44f7-87f5-9b8990b6f8fe.jpg,"샴페인, 오라동, 와인, 제주시내",CNTS_200000000014989
책은 선물,쇼핑,일일 서점지기 체험이 가능한 작은 서점,제주특별자치도 제주시 한경면 신창리 337-3,제주특별자치도 제주시 한경면 신창5길 5,33.3491801,126.1820167,010-4866-5738,https://api.cdn.visitjeju.net/photomng/imgpath/202306/15/05dc24f9-60b7-415b-bf27-57361e59147d.jpg,"서점, 신창리, 책방, 한경면",CNTS_200000000014977
낭만와인샵,쇼핑,와인 유통업 20년 경력자인 사장님이 운영하는 와인샵,제주특별자치도 제주시 삼도이동 251-2,제주특별자치도 제주시 남성로 158-11,33.5087804,126.5221168,0507-1389-7722,https://api.cdn.visitjeju.net/photomng/imgpath/202306/12/eaefc878-d559-440e-9835-5d4a7bfc6659.jpg,"와인, 용담, 와인샵, 제주시내",CNTS_200000000014990
소소한 상상점,쇼핑,직접 그려 더욱 개성 있는 세화소품숍,제주특별자치도 제주시 구좌읍 평대리 73,제주특별자치도 제주시 구좌읍 평대9길 37-3,33.5270006,126.8509414,010-3323-2131,https://api.cdn.visitjeju.net/photomng/imgpath/202306/30/771a7cdc-c376-4dbe-a970-d370578c643d.jpg,"잡화, 구좌읍, 핸드메이드, 소품샵, 액세서리, 평대리",CNTS_200000000015128
호끄만거,쇼핑,제주에서 활동하는 작가들의 감각있는 소품을 판매하는 소품샵,제주특별자치도 제주시 일도일동 1103 지하 1층,제주특별자치도 제주시 동문로4길 9 지하 1층,33.5122122,126.5282021,0507-1368-1970,https://api.cdn.visitjeju.net/photomng/imgpath/202306/30/fde82514-8196-4b6e-8d4a-4f6620b22015.jpg,"핸드크림, 동문시장, 디퓨저, 제주시내, 소품샵, 엽서, 액세서리",CNTS_300000000015989
제주그림,쇼핑,제주의 잘 알려지지 않은 문화유산을 제품을 통해 이야기한다.,제주특별자치도 서귀포시 신효동 1121-2,제주특별자치도 서귀포시 효돈로 94,33.2631103,126.6090828,010-3904-1711,https://api.cdn.visitjeju.net/photomng/imgpath/202107/28/707467c2-e3c9-468e-bfc6-714cc8826f3f.jpg,"쇼핑,휴식/힐링,공용주차장,카드결제,현금결제,탐나는전,영어,쉬움, 쇼핑,휴식/힐링,관광기념품,상점/상가",CNTS_200000000011815
