,사업장명,업종구분대분류,업종구분소분류,소재지전체주소,도로명전체주소,lat,lng
0,탑동에이치지,일반음식점,기타,제주특별자치도 제주시 삼도이동 1120-2,"제주특별자치도 제주시 무근성안길 16, 1층 (삼도이동)",33.5151128,126.5202001
1,에릭스에스프레소,일반음식점,기타,제주특별자치도 제주시 구좌읍 세화리 1397-6번지,"제주특별자치도 제주시 구좌읍 구좌로 77, 1층",33.5214225,126.8588743
2,일품순두부한림점,일반음식점,한식,제주특별자치도 제주시 한림읍 대림리 1845-2번지,"제주특별자치도 제주시 한림읍 한림상로 237, 1층",33.4192601,126.2674304
3,김복남맥주제주아라점,일반음식점,식육(숯불구이),제주특별자치도 제주시 아라일동 6139,"제주특별자치도 제주시 중앙로 581, 에이동 1층 (아라일동)",33.4714278,126.5457848
4,봉플라봉뱅,일반음식점,기타,제주특별자치도 제주시 연동 312-57번지 정인하우스,"제주특별자치도 제주시 문송1길 6-1, 정인하우스 1층 (연동)",33.4879976,126.4978933
5,멜꽃삼,일반음식점,정종/대포집/소주방,제주특별자치도 제주시 아라일동 6138,"제주특별자치도 제주시 중앙로 573, 1층 (아라일동)",33.4723023,126.5459717
6,가빈거래처,일반음식점,기타,제주특별자치도 제주시 아라일동 368-81,"제주특별자치도 제주시 산천단동2길 13, 1층 (아라일동)",33.4491844,126.5581602
7,스톤아일랜드탭하우스,일반음식점,기타,제주특별자치도 제주시 연동 280-37,"제주특별자치도 제주시 삼무로7길 16, 1층 (연동)",33.4924282,126.4932583
8,옹포분식,일반음식점,기타,제주특별자치도 제주시 한림읍 옹포리 127-15번지,"제주특별자치도 제주시 한림읍 월계로 15, 1층",33.4034300,126.2549266
9,연두랑고갈비,일반음식점,한식,제주특별자치도 제주시 도남동 67-9,"제주특별자치도 제주시 독짓골2길 10, 1층 (도남동)",33.4912629,126.5293906
10,협재더꽃돈본점,일반음식점,기타,제주특별자치도 제주시 한림읍 협재리 1781-1,"제주특별자치도 제주시 한림읍 한림로 366, 1층",33.3953489,126.2425638
11,한마음정육식당삼화점,일반음식점,기타,제주특별자치도 제주시 도련일동 1977-5,"제주특별자치도 제주시 건주로6길 42, 1층 (도련일동)",33.5144265,126.5784505
12,와르다레스토랑,일반음식점,기타,제주특별자치도 제주시 삼도이동 148-3번지,"제주특별자치도 제주시 관덕로8길 24-1, 1층 (삼도이동)",33.5110389,126.5231003
13,길섶나그네,일반음식점,한식,제주특별자치도 제주시 조천읍 와산리 1303-6,"제주특별자치도 제주시 조천읍 미래로 241, 1층",33.4683304,126.6786072
14,사랑뜰,일반음식점,기타,제주특별자치도 제주시 한림읍 한림리 1419-1,"제주특별자치도 제주시 한림읍 한림로 662-1, 1층",33.4143390,126.2639232
15,불티나네,일반음식점,기타,제주특별자치도 제주시 애월읍 하귀2리 2720,"제주특별자치도 제주시 애월읍 가문동상2길 29-7, 1층",33.4845981,126.3909537
16,수니테이블,일반음식점,분식,제주특별자치도 제주시 구좌읍 하도리 1544-2번지,제주특별자치도 제주시 구좌읍 문주란로 33-1,33.5190947,126.8858142
17,연화양꼬치,일반음식점,중국식,제주특별자치도 제주시 연동 276-3,"제주특별자치도 제주시 연동8길 28, 1층 105,106호 (연동)",33.4835303,126.4903698
18,제주황금장어함덕점,일반음식점,기타,제주특별자치도 제주시 조천읍 함덕리 955-8,"제주특별자치도 제주시 조천읍 함덕로 20, 1층",33.5416542,126.6729712
19,예쁘게즐겁게,일반음식점,기타,제주특별자치도 제주시 구좌읍 월정리 278,"제주특별자치도 제주시 구좌읍 월정3길 14, 1층",33.5526760,126.7922484
20,제주도해녀세자매,일반음식점,일식,제주특별자치도 제주시 한림읍 수원리 942-1,제주특별자치도 제주시 한림읍 한림해안로 275,33.4258570,126.2639665
21,24시누름돌김치찌개,일반음식점,기타,제주특별자치도 제주시 연동 304-3,"제주특별자치도 제주시 노연로 146, 1층 (연동)",33.4855304,126.4957961
22,선흘바람,일반음식점,기타,제주특별자치도 제주시 조천읍 선흘리 464-2번지,"제주특별자치도 제주시 조천읍 선교로 571, 1층",33.4550518,126.7105303
23,이돈갓아라점,일반음식점,기타,제주특별자치도 제주시 아라일동 6127-4,"제주특별자치도 제주시 인다10길 36, 2층 (아라일동)",33.4742704,126.5494289
24,바삭돈가스삼화점,일반음식점,경양식,제주특별자치도 제주시 화북일동 1019-4 티엠빌딩,"제주특별자치도 제주시 화삼로 7, 티엠빌딩 3층 301호 (화북일동)",33.5144262,126.5738148
25,남궁푸드,일반음식점,기타,제주특별자치도 제주시 한림읍 한림리 936-7,"제주특별자치도 제주시 한림읍 한림중앙로 46, 2층",33.4105798,126.2651120
26,한림피그농원,일반음식점,기타,제주특별자치도 제주시 한림읍 한림리 455,"제주특별자치도 제주시 한림읍 한수풀로2길 31, 1층",33.4173496,126.2730509
27,하도39,일반음식점,기타,제주특별자치도 제주시 구좌읍 하도리 463-5번지,"제주특별자치도 제주시 구좌읍 해맞이해안로 1766-14, 1층",33.5261369,126.8894467
28,옥성식당,일반음식점,기타,제주특별자치도 제주시 이도일동 1289-5 보성시장,"제주특별자치도 제주시 동광로1길 32, 보성시장 (이도일동)",33.5033674,126.5278977
29,제주마당,일반음식점,기타,제주특별자치도 제주시 이호일동 663-1,"제주특별자치도 제주시 도리로 50, 2층 (이호일동)",33.4981801,126.4581235
30,보오리,일반음식점,기타,제주특별자치도 제주시 애월읍 광령리 2611-1,"제주특별자치도 제주시 애월읍 광령평화3길 18, 1층",33.4471522,126.4331971
31,대붕정,일반음식점,한식,제주특별자치도 제주시 조천읍 선흘리 464-2번지,"제주특별자치도 제주시 조천읍 선교로 571, 1층",33.4550518,126.7105303
32,미연이네집,일반음식점,기타,제주특별자치도 제주시 연동 281-17 삼무주택,"제주특별자치도 제주시 삼무로7길 34, 삼무주택 1층 (연동)",33.4907376,126.4932473
33,영화루,일반음식점,중국식,제주특별자치도 제주시 연동 304-37,"제주특별자치도 제주시 사장길 15-1, 1층 (연동)",33.4841323,126.4958096
34,맥주창고,일반음식점,기타,제주특별자치도 제주시 도남동 909-1번지 윤재연립,"제주특별자치도 제주시 도남로 40, 1층 (도남동, 윤재연립)",33.4965595,126.5263283
35,성두길일오포차,일반음식점,기타,제주특별자치도 제주시 연동 291-83,"제주특별자치도 제주시 성두길 15, 1층 (연동)",33.4916153,126.4943555
36,램앤블랙,일반음식점,기타,제주특별자치도 제주시 조천읍 교래리 471-3,"제주특별자치도 제주시 조천읍 교래1길 45, B,C동 1층",33.4369279,126.6731438
37,살레안의고깃,일반음식점,기타,제주특별자치도 제주시 노형동 1942-1번지,"제주특별자치도 제주시 월산남길 110, 1층 (노형동)",33.4653480,126.4693086
38,쉬멍해장국,일반음식점,한식,제주특별자치도 제주시 이도이동 2035-9,"제주특별자치도 제주시 구남로4길 8-12, 1층 (이도이동)",33.4887991,126.5330239
39,우도청정식당,일반음식점,한식,제주특별자치도 제주시 우도면 연평리 1185-2번지,"제주특별자치도 제주시 우도면 우도해안길 804, 1층",33.5139832,126.9570521
40,핫피엔도,일반음식점,호프/통닭,제주특별자치도 제주시 삼도일동 529-3,"제주특별자치도 제주시 전농로 48-1, 1층 (삼도일동)",33.5043045,126.5183643
41,호주면세점제주점,일반음식점,기타,제주특별자치도 제주시 연동 256-10 뉴전원빌라,"제주특별자치도 제주시 연동4길 28-16, 1층 102호 (연동, 뉴전원빌라)",33.4835647,126.4867419
42,향기마라탕오리전문점,일반음식점,중국식,제주특별자치도 제주시 삼도이동 1241-12,"제주특별자치도 제주시 중앙로 140, 1층 (삼도이동)",33.5062052,126.5250548
43,폭풍장어외도점,일반음식점,기타,제주특별자치도 제주시 외도일동 405-4,"제주특별자치도 제주시 일주서로 7326, 1층 (외도일동)",33.4926706,126.4298396
44,인추자커피앤민박,일반음식점,기타,제주특별자치도 제주시 추자면 대서리 8-8,"제주특별자치도 제주시 추자면 추자로 20-1, 1층",33.9637190,126.2968412
45,혜안,일반음식점,기타,제주특별자치도 제주시 해안동 1724-1,"제주특별자치도 제주시 해안마을10길 39, 1층 (해안동)",33.4504143,126.4533313
46,수빈이네제주밥상,일반음식점,한식,제주특별자치도 제주시 건입동 675-9번지,"제주특별자치도 제주시 사라봉7길 31-1, 1층 (건입동)",33.5153042,126.5398852
47,안녕하샌,일반음식점,호프/통닭,제주특별자치도 제주시 구좌읍 월정리 562,"제주특별자치도 제주시 구좌읍 월정3길 53-15, 2동",33.5564202,126.7942348
48,오늘식탁,일반음식점,분식,제주특별자치도 제주시 이도이동 1035-3,"제주특별자치도 제주시 가령로4길 1, 1층 (이도이동)",33.4966047,126.5330132
49,신촌도시락,일반음식점,한식,제주특별자치도 제주시 조천읍 신촌리 1789-3 라움시티,"제주특별자치도 제주시 조천읍 신북로 88, 지1층 104호 (라움시티)",33.5351754,126.6229848
50,사랑방포차,일반음식점,한식,제주특별자치도 제주시 한림읍 한림리 1207,"제주특별자치도 제주시 한림읍 한림중앙로 14, 1층",33.4135435,126.2643670
51,돈삼겹직영5호점,일반음식점,한식,제주특별자치도 제주시 이도이동 1952-2,"제주특별자치도 제주시 신설로9길 37, 지하1층 (이도이동)",33.4952149,126.5470905
52,미미래,일반음식점,기타,제주특별자치도 제주시 용담이동 359-51번지,"제주특별자치도 제주시 용담로 94, 1층 (용담이동)",33.5118528,126.5125280
53,티엔미미,일반음식점,기타,제주특별자치도 제주시 연동 253-13번지,"제주특별자치도 제주시 연동4길 8, 1,2층 (연동)",33.4852077,126.4877509
54,호자,일반음식점,한식,제주특별자치도 제주시 구좌읍 세화리 1318-3번지,"제주특별자치도 제주시 구좌읍 세화8길 7, 1층",33.5214070,126.8575846
55,장전반점,일반음식점,중국식,제주특별자치도 제주시 애월읍 장전리 429,"제주특별자치도 제주시 애월읍 하소로 373, 1층",33.4493810,126.3911415
56,아하,일반음식점,기타,제주특별자치도 제주시 연동 282-17,"제주특별자치도 제주시 은남1길 31, 3층 (연동)",33.4890967,126.4925609
57,돌담칼국수세화점,일반음식점,한식,제주특별자치도 제주시 구좌읍 세화리 1-15,"제주특별자치도 제주시 구좌읍 해녀박물관길 33-1, 1층",33.5237193,126.8621891
58,베롱베롱인행원,일반음식점,한식,제주특별자치도 제주시 구좌읍 행원리 165-3번지,"제주특별자치도 제주시 구좌읍 해맞이해안로 820-38, 1층",33.5534767,126.8225133
59,동문감자탕,일반음식점,한식,제주특별자치도 제주시 일도일동 1102-10번지 보인빌딩,"제주특별자치도 제주시 중앙로13길 25-2, 보인빌딩 1층 (일도일동)",33.5116442,126.5272103
60,심해,일반음식점,일식,제주특별자치도 제주시 조천읍 신흥리 35-4,"제주특별자치도 제주시 조천읍 조함해안로 330-1, 지하1층",33.5496238,126.6528263
61,애월기록,일반음식점,기타,제주특별자치도 제주시 애월읍 하귀2리 2964-9번지,"제주특별자치도 제주시 애월읍 번대동길 4, 1층",33.4783695,126.3918431
62,금능식당,일반음식점,분식,제주특별자치도 제주시 한림읍 금능리 2088-54,"제주특별자치도 제주시 한림읍 한림로 224, 1층",33.3866085,126.2316718
63,역전할머니맥주제주시청점,일반음식점,호프/통닭,제주특별자치도 제주시 이도이동 1773-26,"제주특별자치도 제주시 광양8길 4, 1층 (이도이동)",33.5000997,126.5288904
64,멜맥집,일반음식점,기타,제주특별자치도 제주시 건입동 1322,"제주특별자치도 제주시 중앙로1길 41-1, 1층 (건입동)",33.5162667,126.5293342
65,오늘도치킨과맥주가좋다,일반음식점,호프/통닭,제주특별자치도 제주시 한림읍 한림리 1323-3번지,"제주특별자치도 제주시 한림읍 사가길 22, 1층",33.4155172,126.2623321
66,알프스인소길,일반음식점,기타,제주특별자치도 제주시 애월읍 소길리 854-2번지,"제주특별자치도 제주시 애월읍 소길남길 22, 1층",33.4327150,126.3781233
67,뽕꼬랑,일반음식점,기타,제주특별자치도 제주시 조천읍 와흘리 165-39번지,"제주특별자치도 제주시 조천읍 남조로 2228, 1층",33.4639293,126.6606677
68,노가리앤비어이도일동점,일반음식점,호프/통닭,제주특별자치도 제주시 이도일동 1245-3번지,"제주특별자치도 제주시 동광로 39, 1층 (이도일동)",33.5026364,126.5328390
69,진주네로,일반음식점,한식,제주특별자치도 제주시 애월읍 하귀1리 1650-1,"제주특별자치도 제주시 애월읍 하귀12길 39, 1층",33.4877778,126.4086342
70,오토김밥제주점,일반음식점,기타,제주특별자치도 제주시 노형동 1045-9,"제주특별자치도 제주시 월랑로10길 23, 1층 (노형동)",33.4904896,126.4777789
71,젠틀래빗제주연동점,일반음식점,패밀리레스트랑,제주특별자치도 제주시 연동 284-9,"제주특별자치도 제주시 연동12길 4, 15층 (연동)",33.4853604,126.4929978
72,딜레탕트,일반음식점,기타,제주특별자치도 제주시 조천읍 조천리 3253-12,"제주특별자치도 제주시 조천읍 신북로 144, 1,2층",33.5350956,126.6284212
73,제주울어멍김밥,일반음식점,한식,제주특별자치도 제주시 노형동 743-5,"제주특별자치도 제주시 진군2길 17, 1층 (노형동)",33.4786588,126.4789781
74,체게바라,일반음식점,기타,제주특별자치도 제주시 내도동 522,"제주특별자치도 제주시 내도3길 21, 1층 (내도동)",33.4955073,126.4389222
75,미리로,일반음식점,기타,제주특별자치도 제주시 이호일동 1795번지,"제주특별자치도 제주시 테우해안로 136, 2층 (이호일동)",33.4976217,126.4484900
76,36.5도여름,일반음식점,기타,제주특별자치도 제주시 애월읍 납읍리 2274-7번지,"제주특별자치도 제주시 애월읍 애납로 165, 1층",33.4394030,126.3282362
77,더더,일반음식점,기타,제주특별자치도 제주시 애월읍 신엄리 753-1번지,"제주특별자치도 제주시 애월읍 엄장로 16, 1층",33.4721912,126.3741475
78,안녕전복,일반음식점,한식,제주특별자치도 제주시 삼도이동 887-1,"제주특별자치도 제주시 관덕로 3, 1층 (삼도이동)",33.5128367,126.5196057
79,한앤솜하우스,일반음식점,기타,제주특별자치도 제주시 노형동 1576-10,"제주특별자치도 제주시 진군남2길 10-5, 1층 (노형동)",33.4756822,126.4773844
80,사이분식,일반음식점,한식,제주특별자치도 제주시 한림읍 한림리 1391-2,"제주특별자치도 제주시 한림읍 한성길 4-1, 1층",33.4130744,126.2623054
81,치토랑제주아라점,일반음식점,경양식,제주특별자치도 제주시 아라이동 1384-9번지,"제주특별자치도 제주시 간월동로 21, 1층 (아라이동)",33.4865477,126.5447476
82,오그커피,일반음식점,기타,제주특별자치도 제주시 한림읍 옹포리 458번지,"제주특별자치도 제주시 한림읍 옹포3길 9-3, 1층",33.4049327,126.2531022
83,온푸드,일반음식점,한식,제주특별자치도 제주시 이도이동 1955-3,"제주특별자치도 제주시 신설로11길 51, 1층 (이도이동)",33.4941312,126.5477125
84,삼양백년짜장,일반음식점,중국식,제주특별자치도 제주시 삼양이동 2102-17,"제주특별자치도 제주시 설촌로12길 36, 1층 (삼양이동)",33.5244545,126.5840691
85,부원뚝배기,일반음식점,한식,제주특별자치도 제주시 한림읍 대림리 1221-6,"제주특별자치도 제주시 한림읍 일주서로 5608, 지하1층",33.4275766,126.2776332
86,호탕,일반음식점,한식,제주특별자치도 제주시 애월읍 애월리 1574-2,"제주특별자치도 제주시 애월읍 애월로8길 8, 1층",33.4641615,126.3189619
87,온월,일반음식점,기타,제주특별자치도 제주시 한림읍 동명리 2209-1,"제주특별자치도 제주시 한림읍 명월성로 137-19, 1층",33.3963783,126.2643494
88,다다미,일반음식점,한식,제주특별자치도 제주시 노형동 1053-3번지,"제주특별자치도 제주시 월랑로 30, 1층 2호 (노형동)",33.4887639,126.4770072
89,플로리카페,일반음식점,경양식,제주특별자치도 제주시 영평동 2689-1,"제주특별자치도 제주시 연신로 188-20, 누리힐 1층 (영평동)",33.4876960,126.5534582
90,춘천명동닭갈비삼화점,일반음식점,한식,제주특별자치도 제주시 화북일동 1015-2,"제주특별자치도 제주시 화삼로1길 16, 1층 (화북일동)",33.5147384,126.5754781
