foodCategory,images,rating,visitReviewCount,blogReviewCount,review
x,x,x,x,x,x
"카페,디저트","['""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181127_10%2F1543250974840HUJbB_PNG%2FvakVrEbulX0argWfLxvycgXC.png""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181127_63%2F1543250989213Q9aXI_PNG%2FI5NEPAiJi-FdKEyaPtINdrxr.png""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181127_86%2F1543250998140TQNye_PNG%2F5m1G-klxqpL0o_HCFxLW-5MI.png""']",4.49,97,44,"['제 입맛에는 안맞았어요. 🥲', '세화의 작은 카페 에요. 사장님 친정하시고 커피고 맛있습니다!', '동네에 있는 작은 커피집 ㅠㅠㅠ\n늦게까지 여는 커피집이 없어, 좁은 선택지 안에 pick 한 곳이지만 너무 좋았어요…!\n느즈막한 저녁, 조용히 들른 커피집은 커피향이 솔솔~ 나는 외국의 어느 작은 상점 느낌이에요! 세련되지는 않지만, 오래된 세월의 품격이 흐르는 곳 :) 애인과 이것저것 즐겁게 보내다 왔어요! 또 깊은 이야기 할 때 들르고 싶은 커피가 참 맛있는 집😊', '라떼맛집이란 얘기를 듣고 찾아간곳이예요.\n배가 부른 상태기도 하고 찐하게 먹고싶길래 플랫화이트를 주문했어요.\n주문할때도 많이 진한데 괜찮으시냐 물어봐주셔서 딱 좋겠구나 싶었는데 마셔보니 역시나~\n커피 자체가 맛있는 집인것같아요.\n다만 공간이 작기때문에 여럿이 방문하긴 불편할수도 있을것같고 한두명이 잠시 들렀다가기 좋은것같아요.\n쿠키나 에그타르트도 맛있다고 들었는데 제가 갔을땐 없었어요.\n\n사실 전에 오픈시간 맞춰서 갔다가 한시간을 기다려도 문을 안여셔서 화났던 곳인데 요번에 와보니 커피맛 하나는 진짜 괜찮아서 한번더 가볼것같아요', '.', '굿', '친절하고 맛도 굿', '세화에서 가장 맛있는 커피에요!!! 사장님 너무 좋으세요~~', '창가자리 앉으면 일몰도 볼 수 있어요ㅎㅎ\n커피도 맛있고 혼자 조용히 머물기 좋은 공간입니다', '햇살이 아름다운 까페에요 \n점심먹고 앉아서 창밖을 보며 노래듣다보면 힐링되네요!\n사장님 커피와 차에 진심인게 느껴지는 까페입니다^.^\n세화 근처 오시면 꼭 방문하시길 추천드려요~😃', '커피맛집 에릭스에스프레소의 따뜻한 커피한잔이 그리운 제주의 오후에요 ^^', '햇살 좋은 오후에 방문하기 좋은 카페 ☕️', '나의 최애카페, 커피맛이 끝내주는 에릭의 오후 햇살이 좋네요.\n오늘은 목도 아프고 카페만 3번째라 커피 맛집이지만 향기로운 차로 오후를 마무리합니다.\n제주도에서 커피 맛있는집 찾으시는분은 여기로 고고!', '콘파냐 맛있어요!! 적당한 산미와 적당한 바디감 아에리카노도 잘 마셨습니다 세화가신다면 추천합니다', '⭐️한줄평 : 조용하고 분위기 좋은 에스프레소 맛집\n- 에스프레소 맛있었어요\n- 작고 아담해서 조용히 있다가 가기에 좋은 카페에요.\n**브레이크 타임이 있으니 시간 확인하고 가세요!ㅠ', '분위기 굿 ㅎㅎ', '커피가 진하고 맛있어요\n세화에 커피맛집이 있어서 행복합니다', '커피는 에릭이죠~', '도민할인10% 굳!! \n감사합니다. :)\n\n꽃향가득\n산미가득\n아메리카노 원츄\n구좌세화 근처오게되면 다시 들릴께요~※', '사장님이 친절하시고 메뉴도 잘 설명해주셨어요!\n잘 마시고 갑니다 다음에 또 올게요!', '당근케이크 맛있었어요', '조용하고 커피도 맛있어요', '커피 존맛탱이고 사장님 친절하세요', <NA>, '세화해변쪽 카페 가려고 왔다가 ... 카카오패밀리 먼저 들러서 이것저것 구매하면서 에스프레소 맛집이라고 추천 받은 카페로 왔는데 진짜 맛있어요.\n당근쥬스 생각하고 세화에 왔다가 맛난 커피 마시고 갑니다.', '사장님이 추천해주신 티 먹었는데(블루베리?) 맛있었어요 ㅎㅎ! 티 드실땐 오분 지나기전에 티백 건져내셔야합니다 안그럼 써요,,ㅎㅎㅎㅎ사장님이랑 수다 떠느라 시간 가는 줄 몰랐어요 친절하신 사장님 또 놀러갈게요!', '오랜만에 정말 제대로 만든 커피를 맛본 즐거움을,\n나른한 여행지에서 만나 행복한 오후를 보냈습니다 :)\n진짜 커피를 맛보고 싶다면, 여기는 꼭!!', '같이 근무하는 동생 추천으로 갔다가 벌써 3번째 방문이예요 ! 여기 아인슈페너 맛지다고해서 다음에 갈 땐 아인슈페너 먹어보려구요 ㅎㅎ 사장님 친절하시고 음료도 다 맛있어요 ! 어제도 가려했지만 ㅜ_ㅜ 다음에 꼭 들를게요 사장님!!', '세화에 이런 곳이 있다니 유럽 느낌 폴폴 나는 따뜻한 감성 카페예요', <NA>]"
두부요리,[],4.35,428,44,"['맛있게 잘 먹고 왔어요^', '늦은 시간 편하게 들리기 좋아요~!', '음식이 맛있습니다\n자주가는 단골집이 될것같아요', '굿', '좋아요', '양도 많고 순두부찌개도 맛있어요~^^', '순두부맛집', '지인추천으로갔는데매장도넓고단체석도있으며중요한것은정말맛있다는겁니다돌솥도진짜돌솥밥입니다 너무잘먹었어요', '제주 한림에 위치한 순두부 맛집입니다.\n순두부 메뉴의 종류가 이렇게 많은 곳은 처음 봤어요!\n그리고 순두부를 주문했을 때 솥밥이 나오는 것도 정말 좋았고, 혼밥할 자리가 있는 것도 아주 좋았습니다.', '편히 가서 뜨끈한 돌솥밥에 든든하게 순두부찌개..', '순두부가 자극적이지 않고 돌솥밥 주니 너무 좋았음요 \n\n다음에 또 갈 의사있음요.', '맛나요', '좋아요', '돌솥밥에 순두부 살짝 말아서 김에 싸서 먹는 맛 역시나 입니다.\n잘 먹고 왔어요', '순두부집', '딱히 먹을곳이없어서 지나가다가 들리게 되었는데 맛이 있진않네요.', '두번째방문.\n총 4개의 순두부(일품,굴,버섯,만두)를 먹어봤는데\n개인적으로는 버섯이 제일임..', '반찬도 깔끔하고 솥밥이 넘 맛잇어요~', '제주도에 많이 분포되어 있는 일품순두부', '맛있는 순두부를 먹고싶었는데 \n여기 순두부 맛집이네요.\n굴 순두부는 민감하신분들에게는 냄새가 날 수도.\n굴 순두부에서 굴은 절반빼고 나머지는 국물까지 싹 비웠네요. (굴은 제철에 다시 한 번)', '순두부집', '여기 가지 마세요 반찬이 상했는데 손님한테 사과도 없이 그냥 빼고 다른 손님한테 안나가니 물어봐보니 제입맛엔 괜찮다 주방장이 먹어봤을때 이상하다고 했다 그래서 안나가는거다 안나 가는걸 알면 사과 라도 해야 정상 아닌가요? 저희가 사과 안하냐 그제서야 웃으며 사과를 하시는데 대충 사과하고 넘어갈 생각 이셨나봐요 그러더니 여기는 제가 살게요 하시더라고요? 그냥 상한거 주고 음식값계산 하면 끝인가요? 여기 직원도 불친절 하고 고기에서 비린네 엄청나요', '음식이 맛있습니다 제주여행 중 간편히 먹고싶을때 가면좋아요', '좋아요', '잘먹었습니다', '일품순두부', '친절하시고 음식이 맛있어요.\n반찬 리핀은 셀프바 이용 하심 디요.\n매운맛 보통맛 조절 가능해요', '맛있고 가성비 최고에요', '제주도 제주시 한림읍 한림리에 있는 순두부 전문점 이다.', '좋아요']"
x,x,x,x,x,x
양식,"['""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240128_13%2F1706448443223XIFj8_JPEG%2FIMG_8057.jpeg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231019_223%2F1697697647001CAglQ_JPEG%2FBeef_1.jpeg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220822_269%2F1661100117390JRtL2_JPEG%2F%25B3%25BB%25BA%25CE.jpg""']",4.79,299,149,"['N번째 방문 중인 봉플라봉뱅! 친절하고 맛있어서 제주 오면 꼭 들리는 곳 입니다 :)', '고급스러운 요리와 맛있는 와인… 퍼펙트한 저녁이었습니다👏🏻👏🏻👏🏻', '버섯감자뇨끼랑 라구파스타 그리고 채끝 스테이크랑 양파스프 모두 빠짐없이 맛있어서 와인이랑 먹기 좋았습니다!', '친구들이랑 여행와서 따뜻한 분위기인 식당에서 식사해서 좋았습니다. 나중에 제주를 오면 또 오고 싶은 맛입니다~', '여자친구랑 오기 정말 좋아요! 분위기좋고 맛도좋아요!', '봉플라봉뱅 진짜 1년만에 방문하는 것 같은데..\n여전히 아니 더 맛있어졌잖아요😭👍\n뇨끼 엄청 쫀득쫀득하구!\n뵈프부르기뇽 보이는거랑 다르게 안 짜고 너무 맛있구!\n문어는 처음먹어봤는데 소스 대박....\n정말 맛있게 잘 먹었습니다\U0001fa75\n사장님 꼭 적게 일하고 많이 버시고 \n오래오래 해주세요👍 또 갈게요오오!!', '메뉴가 다 훌륭하고 맛있습니다 \n적극 추천이에요!', '스테이크 굽기도 적당하구 뇨끼는 쫀득쫀득 문어는 엄청 부드러웠어요ㅠㅠ 맛은 당연하구 음식이 전체적으로 너무 예쁘게 나와서 맘에드러용 제주도에서 제 최애 양식집입니당💫💫', '음..', '역시 스테이크\n\n좋은 점.\n1. 좋은 음싣으로 분위기 낼 수 있는 좋은식당.\n인테리어<<<< 음식.\n스테이크가 미쳤다. 고기는 210g정도. 2인이 나눠먹기 적을 줄 알았는데 먹다보니 배부름. \n고기가 식기도 전에 먹어버렸음. \n\n아쉬운점.\n1. 서버..?\n자리 안내 - 주문 -음료 서빙 후 사라지신다. \n주방일을 같이 보시는지 음식이 나올 때야 볼 수 있음.\n물 마시고 싶었는데 요청드리기 좀 그렇고 그랬슴다.\n\n총평 : 역시 맛있으면 됐다.', '언제나 가도 항상 맛있는 봉플라봉뱅!\n오늘은 와인을 못마셔서 너무 아쉬워요ㅠㅠ\n어디 가지마시고, 오래오래 해주세요.\n사랑해여!!', '최애의 양파스프 완전 맛있어요\n그 담으로 스테이크 고기가 참말로 질기지 않고 부드러워용\n뇨끼는 완전 쫀독쫀독하구요! 크림 소스는 자극적이지 않고 담백합니다!! 최고 !!\n마지막 크렘브륄레로 마무리하면 세상 행복 ㅎㅎ', <NA>, '음식은 정말 맛있어요~~! 근데 좋은 와인인지는 모르겠지만..글라스와인용으로 캐주얼하게 한잔하기엔 15천원은 사악..서울보다도 비싼것 같다는;;', '주문한 모든 메뉴가 너무너무 맛있었던 곳! 4년 연속 블루리본엔 역시 이유가 있었습니다👍🏻\n다음번 제주 방문 때도 꼭 들르고 싶어요\n저희가 메뉴를 2개 시킬지, 3개 시킬지 고민하니 우선 드셔보시고 모자라면 하나 더 주문하라고 친절해 안내주셨어요 :) 먹다가 너무너무 맛나서 메뉴추가 하여 소스까지 삭삭 긁어먹었습니다 ㅎㅎ 강추요!', <NA>, '맛있었던 순서대로 사진 첨부 📁\n뇨끼 너무 몽글말랑 부드러운 식감! 맛있어서 아껴먹었어요\n오리가슴살은 건조 숙성되어 그런지 특이하게 바삭한 식감으로 먹는 재미가 있고, 속살이 너무 부드러워서 새롭게 맛있었어요\n오늘의 생선은 개인적으로 무난한 느낌\n애호박이랑 생선이 잘 어울렸어요\n\n직원분 친절하시고 물잔이 빌 때마다 호다닥 오셔서 새로 따라주시는 서비스가 인상깊었습니다', '두명인데 모르고 한명으로예약해서 갔는데 친절히 받아주셨어요. 그리고 너무 맛있어용^~^', '너무 맛있는 음식과 좋은 와인들!!!\n덕분에 좋은 추억 남기고 가요❤️❤️', '처음으로 혼자여행을 하면서\n첫날 저녁은 맛있게 즐기고싶어서 예약했던 곳이에요\n사실 샐러드류와 바다음식을 좋아하지 않는편인데\n디너코스 첫번째 직접만든 잠봉을 곁들인 자두샐러드부터 맛있어서 반했어요\n제주산 돌문어는 플레이팅도 예쁘고, 제주도미랑 돌문어는 추천해주신 화이트와인이랑 너~무잘어울렸어요\n스테이크는 레드와인과 먹었는데 와인추천을 너무 잘해주셔서 먹는데 행복했습니다 ㅎ\n코스에서 어니언스프가 나왔는데 이게 저의 원픽입니다 ㅎㅎ 마무리로 나오는 크림브륄레와 아아도 완전 제스타일이였어요\n아아대신 티로 변경도 가능하다니 센스도 좋구 사장님 친절도가 최상급입니다^^\n리뷰 잘안남기는데 너무 맛있는 음식으로 좋은 시간을 만들어주셔서 꼭 남기고싶었어요! 다음에 제주도오면 또갈게요!', '점심 때 방문했습니다!\n주차는 넓은 도청 주차장 이용했어요 👍\n\n감자뇨끼, 봉골레, 문어 주문했는데\n\n처음 나온 메뉴는 뇨끼!\n굉장히 부드럽고 쫄깃쫄깃 \U0001fa77\n다른 매장에서 먹은 것과 다르게 여기는 노릇하게 익혀주신 부분이 바삭하고 맛있었어요😆\n너무 맛있어서 빠르게 순삭😝😝\n\n두 번째 메뉴는 봉골레!\n봉골레에 원래 조개 들어가지만\n저렇게 큼직큼직한 조개가 엄~~~~~~~청나게\n많~~~~이 들어가더라구요!!😍😍\n게다가 껍데기 없이 살만 있어서 👍👍👍\n아주 편하게 먹었어요!\n면은 일반 파스타면 느낌보다는 얇은 라멘 면 느낌?☺️\n\n세 번째 메뉴는 문어 🐙\n우와아... 👏 👏 👏 \n왕왕 큰 문어 다리가 바삭바삭하게 튀겨져 나옵니다!\n탱클하고 쫄~~깃한 문어에 소스 찍어서 맛있게 먹었어요😆', <NA>, '아주 만족스러운 식사였습니다. 메뉴도 가성비가 좋고 친절하십니다. 추천해주신 와인도 맘에 쏙 들었어요. 또 방문하고 싶습니다!', <NA>, '너무 맛있게 먹느라 정신차리고 보니 스테이크가 나왔네요🫠뒤늦게 사진찍고 통탄했습니다..ㅜ\n하나하나 맛있었고 같이 온 일행이 입맛이 까다로운데 맛있다고 해줘서 봉플라봉뱅 가자고 주선한 사람으로서 뿌듯했네요😊 좋은 추억 남기고 가요♡', '음식은 괜찮아요 맛있게 잘먹었지만 글라스 와인은 맛이 별로였어요 ㅠㅠ 아쉽 주차도 편하고 사람이 없어서 조용하게 즐기고 왔어요!', '오랜만에 파인 다이닝을 경험 했습니다. 런치 셋 이었지만, 하나하나 정성들여 정갈하고 맛있었습니다. 재방문 꼭 하고 싶네요.', '웨딩촬영 뒷풀이 제대로 하고 가요!\n라구 뇨끼 스테이크 와인까지 너무맛있어요ㅠㅠ\n잘먹었습니다👍😍', '음...', '지인 추천으로 예약까지 하고 귀한분들 모시고 갔는데....\n추가로 주문한 빵 4조각이 주문한 음식 4개에 비해 제일 맛있었습니다.\n올리브 오일에 소금은 무슨 조합인건지 이해가 안갔네요. 안그래도 모든 음식이 짰는데......그냥 빵만 안짜서 좋았습니다. 같이 갔던 분들께 많이 죄송했습니다.']"
x,x,x,x,x,x
x,x,x,x,x,x
"맥주,호프","['""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230819_288%2F1692454087113yXToR_JPEG%2FIMG_20230809_223429_638.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200811_59%2F1597115145818QMJ2o_JPEG%2FibVy1n0EMkqWSZTnuSaGTJsC.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200811_82%2F1597115089159Xy3bw_JPEG%2FcB1ERskSAObsjmHMAwu6L8fo.jpg""']",4.48,262,189,"['술 직접 따라먹는거 너무 신기하고\n골라먹는 재미가있어요!!!\n안주들도 다 너무 맛있어요❤️❤️\n분위기 진짜 좋아서 시간가는줄 몰랐네요', '다양한 맥주를 마실수 있는데 ml단위로 마시는 거라서 잘못하면 금액이 많이 나온다는 단점이 있네요\n피자는 맛있어요', '가게가 전체적으로 깔끔하고 너무 예뻤습니다 ㅎㅎ 순살치킨이랑 칠리 핫도그도 너무 맛있었고 양도 진짜 많았어요! 맥주도 종류가 무려 20가지정도 돼서 너무 다양하게 잘 먹을 수 있었습니다! 조금씩 따라서 다양하게 마실 수 있어서 좋았어요~ 제주도데이트 장소로 추천합니닷!', '직원분들 넘나 친절하시고 안주도 맛있었어요 !\n맥주 종류도 다양해서 골라먹는 재미도 있어요!!!\n완전 추천!!! 분위기도 짱조음', '운치있고 멋진 곳! 제주의 감성도 잘 느껴지는 펍이에요 피자 jmtttt', '팔찌로 탭해서 먹는 방식이 좋아서 간 곳인데 피자가 머무너무너무 맛있었어요 도우가 퍽퍽한 빵이 아니라 화덕피자같은 얇고 난 맛나는 빵이라 끝에만 먹어도 맛있더라구요 조용하고 노래 선곡도 좋았습니다~~', '짱맛.....\n피자도 칠리감튀도 맥주도 \n어느하나 만족안되는부분이없음..ㅠㅠ\n제주도 올때마다 올거에여!!!', '피자와 맥주의 궁합이 최고였어요\n다양한 맥주를 즐겁게 마실 수 있는 곳\n여행객에게도 주민에게도 핫 플레이스', '안주가 맥주랑 딱 어울리는 맛!!\n직접 태그하고 맥주 따라마시는 재미도 있고 다양한 맥주를 조금씩 맛볼 수 있어서 좋았어요!\n오늘 축구 틀어주셔서 굿이었습니다!!', '야경이 멋져요', '스포츠경기 응원하기 굉장히 좋은 펍입니다. 스코어 맞춰서 13만원어치 맥주 공짜로 마셨네요 ㅋㅋㅋㅋ 강추드립니다.', '아시안 게임 승리 예측 이벤트 성공으로 맛있게 무료로 먹었어요✌️\n사장님,, 8테이블이나 맞췄다는데도 끝까지 친절하시고ㅠㅠ 최고👍🫶\n다음에 또 올게요!!!👋', '생맥주 전문점인데 피자맛집이었다는 거', '분위기도 맥주도 좋습니다', 'ㆍ', '수제맥주를 원하는 만큼만 따라 마실수 있는 제주연동술집이에요! 분위기도 넘 좋고 수제맥주 종류도 많아서 제주수제맥주천국입니다ㅜㅜ 안주도 맛있고 푸짐했어요~ 맥주 맛있어서 둘이서 13잔마심.. 과음에 주의하세욬ㅋㅋ', '다양한 수제맥주를 여러가지 맛 볼 수 있으며 등갈비는 진짜 맛있어요!̆̈ ! 맥주안주로 술이 술술 들어가며 바삭한 튀김에 고기살도 부드러워서맛있네요!̆̈ ! 분위기가 힙하고 신나요!̆̈ ! 사람도 꽤 많아서 이야기할때 시끄러울것 같았는데 공간이 넒다보니 전혀 그렇지않고 다트게임도 할 수 있어 다트게임도 하며 좋았어요!̆̈ !', '쫀마탱~ 저의 또간집ㅋㅋㅋ 옥수수콘튀김이랑 피자 맛잇으니깐 꼭드세옹>_<ㅋㅋ', '원하는 맥주를 내가 원하는 만큼만 따라서 먹을 수 있는 시스템의 신박한 맥주집이예요!!\n인테리어두 너무 이뻐서 데이트로 가기좋는 곳입니다!!', '좋아요', '제주연동술집""스톤아일랜드 탭하우스""는\n수제맥주맛집으로 셀프바에서 원하는 맥주를 드실만큼만 따른뒤 계산하는 시스템이\n넘 매력적인 곳이에요ㅎ\n분위기도 넘 좋고 맥주와 치킨 맛나요ㅎ', '제주시에 원하는 맥주를 원하는 만큼 직접 따라 마실수있는 곳. 너무 매력적이에요❤️\n등갈비튀김 정말 부드럽고 맛있었어요. 살이 엄청 많이 붙어있어서 놀랬어요..! 앙상한 뼈 보이시죠?\n허니버팔로윙도 짭짤달달해서 맥주 안주로 최고! 셀러리가 사이드로 나온다니ㅠ 흰소스에 찍어먹으니 너무 맛있어서 조금만 더 달라고 부탁드렸더니 한뭉치 주셨어요ㅋㅋㅋㅋㅋ 그리고 하이볼도 있답니다 :) 생맥주를 ml당 몇십원으로 원하는 만큼 조절해서 따를수있어서 한모금씩 맛보기로 마셔보고 입맛에 맞는 맥주 고를수있는 점이 제일 좋았어요ㅎㅎ 또 갈게요ㅎㅎ', '오늘 간 곳은 제주연동술집 스톤아일랜드탭하우스 본점! 등갈비 튀김과 스톤아일랜드 시그니처 디트로이트 피자를 먹었어요! 여기는 다양한 맥주를 마실 수 있어서 좋았어요! 맥주가 정말 다양해서 고를수 있는 자유가 있어요 ㅎㅎ 다트도 할수있는 공간! 등갈비 튀김 진짜 존맛탱구리 ㅎㅎ 피자도 정말 맛있어요! 맥주랑 정말 잘어울려요 연동술집 스톤아일랜드탭하우스 본점 추천합니당-업체로부터 서비스를 제공받았습니다', '굳', '제주 공항 근처에 머물어서 방문하게 되었는데 맥주 종류가 엄청 다양하고 이국적인 느낌이 나는 맥주집이에요!! 피자 먹었는데 넘 맛있었고 다음에도 간맥하러 방문하기 좋은 곳인거 같아요! 단점은 책상 하단에 받침대가 있어서 발 놓기가 조금 불편했지만 여름에\n시원하게 맥주한잔 하기 좋은 술집입니다!!', '친절해요. 음식이 맛있고 맥주가 다양해서 조금씩 여러가지 맛보기 너무 좋아요. 하이볼도 맛나고 울동네에도 있었으면 좋겠다!!!', '해피아워에 피자 할인이 ""5만원이상주문시""라고 표시해줬으면 좋겠어요 당연하게 저렇게만 표시 되어 있으면 그냥 할인이라고 생각하지 않을까요 직원분들 아무도 말안해주시고 영수증 받고 걷다보니 가격이 이상해서 돌아가서 말씀드리니 그제서야 5만원이상이여야 한다고 하시네요 4만원가까이 나왔는데 안내 받았으면 차라리 맥주 더 마시고 할인 받았을텐데 가게에 저 혼자였는데 시끄러운 단체 바로 뒤 테이블에 앉아서 나온거였는데 아쉽네요', '굿', '생맥주 다양 세계 맥주 과일맥주 좋으네요', '코로나 전에도 자주 가던 곳인데 맥주 종류도 다양하고 음식도 진짜 맛있어요😋 그날그날 땡기는 맥주맛이 다른데 시음하듯 조금씩 마셔보고 그날 입에 맞는 맥주로 한잔 가득 채워 마시면 꿀맛이에요😆 마약콘튀김 진짜 강추에요 꼭 안주로 시켜드세요!!\n\n* 이 글은 강남맛집을 통해 본 업체에서 제품 또는 서비스를 제공받아 작성한 글입니다']"
종합분식,"['""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221126_142%2F1669442847015EYWUq_JPEG%2F%25BF%25CB%25C6%25F7%25B1%25E8%25B9%25E4_%25C0%25D4%25B1%25B8.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230526_22%2F1685075183364XrT1I_JPEG%2F1685074985187.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230526_159%2F16850751889213H1AG_JPEG%2F1685075134491.jpg""']",4.48,98,28,"['묵은지참지 자극적이지 않고 맛있어요 기본도 재료가 많이 들어간편이고 생당근이 많아서 신선한 느낌이랄까', '김밥이 아주 맛있어요.\n사장님도 친절하시고 분위기도 좋아요.', '종료 시간이 빠르긴한데 이 집 김밥 추천드려요.', '김밥에 내용물도 알차고 맛있어요~ 떡볶이도 매콤하게 부탁드렸는데 맛나게 잘 먹었습니다! 번창하세요~^^', '가공 식품이 많이 들어 있지 않아 담백한 편이예요.', '참치가득김밥 너무 맛있네요.\n순식간에 꿀꺽 했습니다. \n채소도 신선, 가득. 너~무 좋아요~.', '가볍게 먹기 좋은곳', '한적한 동네에 있어서 좋아요. 사장님이 뭔가 가게에 애정이 없는 느낌이 들었어요. 라면은 그냥 한강라면 기계구 떡볶이는 편의점 자이언트 떡볶이 맛..? 김밥은 손수 만들어주셔서 맛있었어요!', <NA>, '포장해서 바다 앞에서 먹었어요! 개인적으로 묵은지참치보다 기본이 정말 맛있었어요!', '굿', '😊😊', '맛잇어요', '축제있어서지나는길어들렸는데기본김밥도넘맛이', '김밥 맛집', '협재서 일박하고 다음날 아침 해결하기 위해 검색해서 찾은곳.\n아담하고 공기좋고 음식도 맛있고.. 삼박자가 굿이네요', '맛있어요\n아이도 너무잘먹어요👍\n간단하게 먹기 좋아요ㅎㅎ\n추천이에요', '김밥 종류도 다양하고 각각 다 맛있어요. 매장도 진짜 깨끗하고 사장님도 친절하세요. 맛있게 잘먹었습니다.', '아이때문에 김밥사러왔는데 맛있네요^^', '속도 꽉꽉!!든든하게 먹고 해수욕장가서 신나게 놀았습니다♡', '제주에 김밥 맛있는집이 많이 있는데 옹포김밥이 찐이네요. 보리새우 김밥 너무너무 맛있어요 ㅠㅠ', '맛있', '김밥 깔끔하고 맛있어요! 종류도 다양하구요', '옹포김밥은 저도 협재해수욕장에서 놀다가 저녁으로간단하게 아이랑 먹을게 없을까 해서 네이버 검색으로 리뷰보고 찾아낸 곳인데 더 알려졌으면 해서 리뷰 남겨요! 진미채김밥, 참치가득김밥, 옹포매콤김밥 그리고 사진엔 없지만 어린이스팸치즈김밥까지 4줄 구매했구요 호텔와서 먹었는데 너무 맛있게 먹었어요 특히 6살아이가 너무 맛있다고 김밥 한줄 다 먹었네요 ㅎㅎ 엄지척을 해주었답니다!^^ 그리고 다른 김밥들도 김밥이름처럼 맛이 뚜렷하고 김밥 속재료가 신선합니다 다음에 제주에 오면 꼭 또 들르고 싶어요~ 솔직히 제주에 유명 김밥집 웨이팅이 너무 힘들어 대체해서 갔던곳인데 대만족이에요!!!', '가격도 저렴하고 너무 맛있어요~♡ 김밥 종류마다 다 맛있어요~~^^', '참치김밥 돈까스김밥 보리새우김밥 기본김밥 \n이렇게 먹었는데 속재료들 신경 쓰신거 맛에서 티가 남\n음식 포장 매장 전체적으로 깔끔하고 사장님 두분 성격이 그러신듯\n지나가는 길에 포장해가세요~', '진미채김밥 최고네요!! 아삭 오이 당근과 짭잘달콤매콤 진미채랑 입안에서 잘 어울려요~ 아이들 먹기 좋은 어린이 김밥 있는 점도 마음에 듭니다 ㅋㅋ 매장도 깔끔하고 단정해서 좋아요! 재료에서 주인장분의 정성이 느껴집니다^^', '정말 찐입니다 맛있고 가성비 짱', '너무 맛있어요!! 재료 너무 실해요♡♡\n가격도 합리적입니다. 육지에서 이 가격으로 절대 맛볼 수 없는 퀄리티입니다.', '굿']"
"육류,고기요리",[],4.48,39,3,"['매우 맛있', '맛있어요', '좋아요', '우연히 찾은 찐맛집!!!! 몇일 연달아 갔아요!!!', '항상 굿굿굿', '맛있어요', '김치찌개 먹으러 갔는데 날 추워지면 다시 나온대요 여름메뉴로 바꼈어요\n대체적으로 양념을 진짜 잘하는 집인 것 같아요\n그냥 잘 구워진 기본 고등어구이인데 거기에 맛있는 양념이 올라가니까 더 특별해졌어요', '제주 사는 지인이 알려준곳 밑반찬에 눈이 휘둥그레졌다는 힘들게 줄서서 비싸게 사먹는 식당 가지말고 여기 가보세요~ 사장님 친절하기까지 하시고 너무 잘먹고왔어요~~~', '굿굿굿', '도민맛집', 'ㆍ', '역시 맛있', '굿굿굿', '맛있어요', '맛있고 친절해요!', '언제가도 맛나요', '100번 가세요', '뭐 하나 나쁜것이 없음~', '양도많고 맛있음', '맛있어요', '항상 맛있는 곳', '맛집 인정', '멀어도 맛있어 갑니다.', '굿', '진짜 맛있는 곳이에요.', <NA>, <NA>, <NA>, <NA>, <NA>]"
