foodCategory,images,rating,visitReviewCount,blogReviewCount,review
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
x,x,x,x,x,x
